index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,month,year,month_year
48719,407-7414100-2595544,2022-04-01,Shipped,Amazon,Amazon.in,Expedited,SET073,SET073-KR-SHA-M,Set,M,B07V6ZF279,Shipped,1,INR,791.0,ROHTAK,HARYANA,124001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,4,2022,2022-04
33495,408-1336981-2595548,2022-04-10,Shipped,Amazon,Amazon.in,Expedited,SET322,SET322-KR-SHA-M,Set,M,B09RKDCHPH,Shipped,1,INR,1099.0,PUNE,MAHARASHTRA,411014.0,IN,,False,,4,2022,2022-04
109513,408-5608185-4141100,2022-06-14,Shipped,Amazon,Amazon.in,Expedited,JNE3548,JNE3548-KR-L,kurta,L,B08MXD1BW4,Shipped,1,INR,517.0,VRINDAVAN,UTTAR PRADESH,281121.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,6,2022,2022-06
16065,407-3093951-4110768,2022-04-21,Cancelled,Amazon,Amazon.in,Expedited,JNE2291,JNE2291-KR-602-S,kurta,S,B07GRVDT51,Unshipped,1,INR,376.0,KOTTAYAM,KERALA,686633.0,IN,,False,,4,2022,2022-04
122450,406-5106971-3469140,2022-06-05,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3836,JNE3836-KR-XXL,kurta,XXL,B09RKB4VDD,Shipped,1,INR,626.0,TRIBENI,WEST BENGAL,712503.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-Z7SKZOEIDWRU4,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,6,2022,2022-06
12238,408-2480922-0739535,2022-04-23,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-XXL,Western Dress,XXL,B099NR3NXY,Shipped,1,INR,791.0,BENGALURU,KARNATAKA,560100.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,4,2022,2022-04
123770,405-3009311-7900300,2022-06-04,Shipped,Amazon,Amazon.in,Expedited,JNE3399,JNE3399-KR-XL,kurta,XL,B082W8B28G,Shipped,1,INR,435.0,MUMBAI,MAHARASHTRA,400080.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,6,2022,2022-06
32424,402-2135883-0929113,2022-04-11,Shipped,Amazon,Amazon.in,Expedited,J0219,J0219-BL-S,Blouse,S,B09PBW48NB,Shipped,1,INR,625.0,ALLAHABAD,UTTAR PRADESH,211004.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,4,2022,2022-04
52944,404-3343110-9832342,2022-05-28,Shipped,Amazon,Amazon.in,Expedited,JNE3468,JNE3468-KR-XL,kurta,XL,B08RP67NGB,Shipped,1,INR,399.0,TRIVANDRUM,KERALA,695013.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,5,2022,2022-05
117066,407-7116115-7752350,2022-06-08,Shipped,Amazon,Amazon.in,Expedited,JNE3785,JNE3785-KR-L,kurta,L,B09K3T318L,Shipped,1,INR,335.0,NEW DELHI,DELHI,110053.0,IN,,False,,6,2022,2022-06
